,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
621,0,0.0,0.0,0.0,0.0,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:18:39
622,9,0.1835352007333313,0.05349886687895378,-169.08190035784685,99.18449076548654,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:18:48
623,18,0.36113401124566735,0.23389521415353443,-337.9631714603022,197.85716326325655,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:18:57
624,26,-0.3533435743293012,0.260301625304038,-507.9719358712026,297.2286491065205,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:19:05
625,42,-1262.142104394286,12535.449689756138,-20514.460404467387,-7126.859571051426,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:19:21
626,51,-1261.5597611703265,12535.880647010745,-20690.699565761905,-7034.796125533861,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:19:30
627,60,-1261.6434251507485,12536.132997764715,-20867.68230264166,-6942.273265969371,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:19:39
628,69,-1261.9252079491616,12536.105565640737,-21045.002657262667,-6849.362361253975,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:19:48
629,84,0.6201935941703596,0.06917323561950184,-1621.828112223122,943.9419763764818,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:20:03
630,93,0.6881508185301755,0.40735579074393513,-1795.1604254096565,1043.251275967208,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:20:12
631,102,0.8757504320442422,0.6322258172922091,-1966.7603796228889,1141.536959661582,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:20:21
632,111,0.8815428336106379,0.6515048968921633,-2139.200617664227,1240.4207563509658,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:20:30
633,127,-4655.83819253909,-11707.037501622151,10991.598288271496,12285.334341826472,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:20:46
634,136,-4655.710849726904,-11706.835454151033,10815.843671725774,12388.259579126352,157.01585774482118,-12.61573387312881,59.6157118430261,60.246586755784335,5,2023-03-09 02:20:55
