,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
322,393,-2.858252126577554,2.448896668221323,11515.417843704347,3495.8174613508277,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:43:55
323,402,-2.811423348794051,2.2995798237900544,11795.942117697108,3571.815441855574,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:44:04
324,411,-2.8477905488102806,2.3081067872453787,12078.51960555954,3648.2261748002657,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:44:13
325,0,0.0,0.0,0.0,0.0,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:44:46
326,9,0.17105757430044832,-0.23206033380347435,108.64896178707113,80.95874509653527,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:44:55
327,18,-0.03541679553791255,0.043534802719591426,218.39118537359354,163.51824312610574,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:45:04
328,0,0.0,0.0,0.0,0.0,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:45:25
329,9,-0.03110043699052767,-0.22748651748258908,125.07911005101278,86.41938023957323,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:45:34
330,18,-0.41952246364189705,-0.24843632502893342,251.6376468410158,173.99854492820737,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:45:43
331,78,-0.4041288583266578,-0.18144392770977902,959.4058292667228,710.2301784448059,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:46:04
332,87,-0.20265482486365727,-0.06537958380761211,1070.6246263429762,791.6242795831693,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:46:13
333,96,-0.9313020770946423,-0.06736744563795583,1183.4700412209372,873.710613800506,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:46:22
334,78,-4915.096921777763,-3520.1495302027097,14491.515885134788,2033.1996495667681,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:46:43
335,87,-4915.18704421901,-3520.369686755103,14637.84327936305,2114.2477453204547,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:46:52
336,96,-4915.344169821242,-3520.323972141773,14783.57156912797,2195.172372818746,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:47:01
337,156,-0.7111332166459761,0.20705045675413203,1942.1869822019744,1419.6832105544615,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:47:22
338,165,-1.2663361030377018,-0.08043361880538669,2056.6276455864113,1500.4088012823274,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:47:31
339,174,-1.0824912509406204,0.15942464648901478,2169.7286756729113,1580.9834336473784,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:47:40
340,156,7402.0433014057635,2058.8105434912136,-9370.47563000234,-2430.368289059271,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:48:01
341,165,7402.092952595547,2058.7217512871603,-9261.932348981987,-2340.5462839979746,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:48:10
342,174,7402.185764237822,2058.9698571596473,-9154.197759274688,-2250.8979836904527,242.8554897416019,-42.68977440197722,131.33167844282022,68.32804108892634,7,2023-03-17 07:48:19
343,234,-1.5220441496467174,-0.2544611984291123,2953.121226500241,2128.3557640628433,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:48:40
344,243,-1.4781457091544326,-0.025412281891590283,3068.827762946296,2208.8044189122684,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:48:49
345,252,-1.502020876955612,0.18281100000194783,3185.498073521296,2289.6291943071674,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:48:58
346,273,15441.176159715167,-6464.224872869727,4231.793862005872,-9958.69632034059,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:49:19
347,282,15441.023498127424,-6464.072831178388,4323.734664664266,-9878.37797321543,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:49:28
348,291,15440.964688515089,-6464.11878049401,4415.677148532506,-9798.704499654277,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:49:37
349,312,-1.564887664494563,0.28662276509976437,3977.912045526716,2829.5356996894952,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:49:58
350,321,-1.0440611737976724,0.6150492834393617,4095.4863840809253,2909.2988276910887,245.68134821208932,-45.57533691512765,135.1096018504112,65.05720801288882,8,2023-03-17 07:50:07
