,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes
142,0.08325777730238014,-0.42802103961605553,-0.07618584368809324,-0.09408619920918682,295.9465443641284,-55.67513971774374,35.92896044345499,35.92896044345499,5
143,-0.27846512659296596,0.6218653187403334,,,295.9465443641284,-55.67513971774374,35.92896044345499,35.92896044345499,5
144,0.16818211241143785,-0.21045095900831257,,,296.4841751123495,-52.19199051414338,35.48738375413007,35.48738375413007,5
145,-0.025960069877404866,0.14527187987596335,0.15565089558376452,0.19116016412681347,296.4841751123495,-52.19199051414338,35.48738375413007,35.48738375413007,5
146,-0.14222204265947863,0.06517907920908783,,,296.4841751123495,-52.19199051414338,35.48738375413007,35.48738375413007,5
147,0.05179774688161763,-0.06497328056696006,,,290.79880418446515,-51.901243678898425,39.06371958654137,39.06371958654137,5
148,-0.0050911456696558785,0.03844392007295028,0.021386719987351463,0.02754438932299763,290.79880418446515,-51.901243678898425,39.06371958654137,39.06371958654137,5
149,-0.046706601085697304,0.02652936049400978,,,290.79880418446515,-51.901243678898425,39.06371958654137,39.06371958654137,5
150,-0.05360108862289861,-0.07017180037678372,,,296.4842482313591,-52.19194316407644,35.68670326590922,35.68670326590922,5
151,-0.020407623017389485,0.0993719998831466,-0.15923999311889458,-0.1960555061401692,296.4842482313591,-52.19194316407644,35.68670326590922,35.68670326590922,5
152,0.0740087116402881,-0.029200199557521955,,,296.4842482313591,-52.19194316407644,35.68670326590922,35.68670326590922,5
153,-0.0638192924187294,0.04418759924362803,,,298.4893234345914,-48.91565988316777,34.146627196596505,34.146627196596505,5
154,0.04988151793260936,0.06465108052111646,-0.10826902545182222,-0.13082228921916794,298.4893234345914,-48.91565988316777,34.146627196596505,34.146627196596505,5
155,0.01393777421715866,-0.1088386798414831,,,298.4893234345914,-48.91565988316777,34.146627196596505,34.146627196596505,5
156,0.10271445544035065,0.05034948056561461,,,296.4843135460334,-52.19181031680955,35.88353854514806,35.88353854514806,5
157,0.016719264190608256,0.035622600088913714,0.004462920297271388,0.0055083495396957005,296.4843135460334,-52.19181031680955,35.88353854514806,35.88353854514806,5
158,-0.11943371975640506,-0.08597208065452833,,,296.4843135460334,-52.19181031680955,35.88353854514806,35.88353854514806,5
159,1.1230353753875255,-0.6846246077316209,,,292.1865020682942,-49.89093119394491,38.531359142394,38.531359142394,5
160,-0.6722900369628226,0.2326539645991943,0.2738596028147059,0.35008442017954167,292.1865020682942,-49.89093119394491,38.531359142394,38.531359142394,5
161,-0.45074533829286706,0.4519706431068471,,,292.1865020682942,-49.89093119394491,38.531359142394,38.531359142394,5
162,0.05214474016345617,-0.1840223996993018,,,296.4842647036932,-52.19178835620971,36.08120195766447,36.08120195766447,5
163,-0.09481757936404059,0.2259488394656728,-0.003841605232212953,-0.004753384476430256,296.4842647036932,-52.19178835620971,36.08120195766447,36.08120195766447,5
164,0.042672838949691996,-0.041926439766371004,,,296.4842647036932,-52.19178835620971,36.08120195766447,36.08120195766447,5
165,0.1309791435697516,0.214419367176788,,,313.9472417543079,-50.14994967838487,25.103421639113947,25.103421639113947,6
166,0.0849744511233409,-0.27428063540071435,-0.042714875881546384,-0.04717043140090027,313.9472417543079,-50.14994967838487,25.103421639113947,25.103421639113947,6
167,-0.21595359495534644,0.059861268198346806,,,313.9472417543079,-50.14994967838487,25.103421639113947,25.103421639113947,6
168,-0.2190291644448847,-0.0881998889155966,,,309.2883875197968,-48.328524486909096,27.601821586478383,27.601821586478383,6
169,-0.1483900573068146,-0.19956552601172461,0.11370517743656272,0.12830806607269096,309.2883875197968,-48.328524486909096,27.601821586478383,27.601821586478383,6
170,0.3674192218877535,0.28776541487616214,,,309.2883875197968,-48.328524486909096,27.601821586478383,27.601821586478383,6
171,0.28583472613344474,0.09170701569019002,,,313.9473994459801,-50.14979355741267,25.30113440796616,25.30113440796616,6
172,-0.2703736675100551,-0.021819374799747493,0.13578914129828662,0.1501969175720319,313.9473994459801,-50.14979355741267,25.30113440796616,25.30113440796616,6
173,-0.015461058623389643,-0.06988764083928345,,,313.9473994459801,-50.14979355741267,25.30113440796616,25.30113440796616,6
174,0.1494070489957,-0.17140175105794242,,,314.26197233596264,-53.64141001908934,26.218041193804833,26.218041193804833,6
175,0.07685444891378782,0.034307284616375,-0.11511883392089906,-0.12832054034390694,314.26197233596264,-53.64141001908934,26.218041193804833,26.218041193804833,6
176,-0.2262614975455399,0.13709446639040834,,,314.26197233596264,-53.64141001908934,26.218041193804833,26.218041193804833,6
177,-0.016825992008610978,-0.002714520934432585,,,313.9475852536539,-50.149616313306105,25.498653162717332,25.498653162717332,6
178,0.2071461123625328,-0.3098467086232404,-0.2457052561644149,-0.27222081463236236,313.9475852536539,-50.149616313306105,25.498653162717332,25.498653162717332,6
179,-0.1903201206161776,0.3125612295065139,,,313.9475852536539,-50.149616313306105,25.498653162717332,25.498653162717332,6
180,-0.0034911288287436527,-0.21318492026409785,,,317.86867683784095,-52.58236761500094,24.020035379451027,24.020035379451027,6
