,RA,DEC,MJD,EXPTIME,TEMP_SET,CCDTEMP,FILTER,ELSTART,ELEND,AZSTART,AZEND,RA_WCS,DEC_WCS
0,144.69658625,-60.0918727777778,58897.1723690288,5.0,-104.150001525879,-100.805046081543,empty_3,59.8590319438808,59.8620842977398,173.810313124617,173.842711527308,144.70279258740916,-60.083396151486355
1,307.078084166667,-87.472205,58899.0535448821,5.0,-104.150001525879,-100.776344299316,RG610,28.0930856450577,28.0922818764229,181.448880960001,181.447321255473,306.94840405442307,-87.4690982127582
2,307.078084166667,-87.472205,58899.0538540044,5.0,-104.150001525879,-100.766220092773,RG610,28.0905759914895,28.0898607357522,181.443862546948,181.442495961441,306.94812323521114,-87.46895897594672
3,307.078084166667,-87.472205,58899.0548914945,2.0,-104.150001525879,-100.79566192627,empty_1,28.0768672212143,28.0763924702187,181.429552514805,181.428578425912,306.94546425706744,-87.4630687363335
4,307.078084166667,-87.472205,58899.0559997382,2.0,-104.150001525879,-100.791946411133,empty_1,28.0725448413868,28.072040586092,181.422354359893,181.421200115932,307.17828574161166,-87.4628511970912
5,307.078084166667,-87.472205,58899.0561199638,2.0,-104.150001525879,-100.765472412109,empty_1,28.0714983328362,28.0710320755024,181.419968087939,181.41906686571,307.179420542602,-87.46305606796696
6,307.078084166667,-87.472205,58899.0562403759,2.0,-104.150001525879,-100.776252746582,empty_1,28.0705501719494,28.0700700565358,181.418135245098,181.417219270734,307.1767115169619,-87.46305637142713
7,307.078084166667,-87.472205,58899.0575360353,5.0,-104.150001525879,-100.755630493164,RG610,28.0603841527482,28.0596349223633,181.397934187902,181.396339167608,307.1788566045565,-87.46320830500457
8,307.078084166667,-87.472205,58899.0576910936,5.0,-104.150001525879,-100.784240722656,RG610,28.0591163619538,28.0583380743046,181.395471920026,181.393852759866,307.1808241896406,-87.46323736083981
9,307.078084166667,-87.472205,58899.0578457215,5.0,-104.150001525879,-100.766960144043,RG610,28.0577739163418,28.0570769890328,181.392822791589,181.391183514846,307.18299838063865,-87.4632535603333
10,307.078084166667,-87.472205,58899.0583127607,2.0,-104.150001525879,-100.78182220459,empty_1,28.0492896421929,28.0488314314862,181.374865402249,181.373593141092,306.9538126514302,-87.46312711952852
11,307.078084166667,-87.472205,58899.0675944007,2.0,-104.150001525879,-100.794738769531,empty_1,27.9961823507329,27.9957934304257,181.222992022304,181.221983958734,307.14066282873523,-87.47749547585673
12,122.857882083333,-42.9872772222222,58899.1007414244,5.0,-104.150001525879,-100.845733642578,empty_1,75.6789604409423,75.6911421402183,154.989825565775,155.074431378802,122.86427583719468,-42.98492259401595
13,67.0904266666667,-23.4439513888889,58899.1036231219,5.0,-104.150001525879,-100.830123901367,empty_1,46.5543047173851,46.5254168792599,266.806411672165,266.791236180594,67.08975820435248,-23.442845485308517
14,67.0904266666667,-23.4439513888889,58899.1064362859,5.0,-104.150001525879,-100.842018127441,empty_1,45.6799671634071,45.6511647089355,266.350708830898,266.335638839533,67.09265547346682,-23.441986373556176
15,122.857882083333,-42.9872772222222,58899.1080327411,5.0,-104.150001525879,-100.84935760498,empty_1,76.5051845296111,76.5128610118118,162.174766142343,162.2601345968,122.86729940664763,-42.9862215723433
16,151.94111,-40.6040447222222,58899.110112103,5.0,-104.150001525879,-100.860504150391,empty_1,60.7218127532833,60.7467134877079,120.133247156162,120.142215569038,151.93952252088525,-40.60750828064483
17,151.94111,-40.6040447222222,58899.1113611675,5.0,-104.150001525879,-100.835983276367,empty_1,61.058798341357,61.0836615248554,120.250079263453,120.259536732439,151.94031761529754,-40.60375911881122
18,200.976031666667,-46.2001397222222,58899.2708115303,50.0,-104.150001525879,-100.877876281738,RG610,64.7385763211932,64.8704954071727,136.217358489026,136.399056245064,201.02382573093402,-46.16771311493343
19,200.976031666667,-46.2001397222222,58899.2714875717,50.0,-104.150001525879,-100.87899017334,RG610,64.8829135878914,65.0142926557746,136.416287649845,136.600906331514,201.0239782474389,-46.1677348217893
20,200.976031666667,-46.2001397222222,58899.2721630349,50.0,-104.150001525879,-100.886138916016,RG610,65.0290671571129,65.1599732621544,136.621939320539,136.809596498002,201.0240574624933,-46.16773114610189
21,200.976031666667,-46.2001397222222,58899.272839139,50.0,-104.150001525879,-100.869232177734,RG610,65.172338245713,65.3025729044311,136.827428270568,137.018055100416,201.02419302369594,-46.16777413575029
22,200.976031666667,-46.2001397222222,58899.2735144253,50.0,-104.150001525879,-100.882423400879,RG610,65.3173572405212,65.4472163899773,137.039843578314,137.233550031175,201.02417247102284,-46.16776578172257
23,200.976031666667,-46.2001397222222,58899.274190656,50.0,-104.150001525879,-100.820373535156,RG610,65.459405241796,65.5887646063202,137.251975018953,137.448674370025,201.02423176962233,-46.16775834558021
24,200.976031666667,-46.2001397222222,58899.2755417479,50.0,-104.150001525879,-100.893104553223,RG610,65.7442397459381,65.8724408431881,137.690035630454,137.892966647123,201.024420733048,-46.16782114680447
25,200.976031666667,-46.2001397222222,58899.2762177289,50.0,-104.150001525879,-100.89737701416,RG610,65.8844942434662,66.0122433884972,137.912214179014,138.118402291511,201.02449290378868,-46.16776798243826
26,200.976031666667,-46.2001397222222,58899.2782456356,50.0,-104.150001525879,-100.83226776123,RG610,66.3041540070262,66.4299733026855,138.604429740881,138.820424456571,201.02476251750102,-46.16785521251914
27,101.053293333333,-54.6955141666667,58900.0240850583,1.0,-104.150001525879,-100.727294921875,empty_1,63.8822109087196,63.8859686835494,162.732609291037,162.752849687313,101.0585074794573,-54.695778553500276
28,307.078084166667,-87.472205,58900.1421680105,5.0,-104.150001525879,-100.766960144043,empty_1,27.7403885706444,27.7404167338391,179.819353599509,179.817641009053,306.9734020527231,-87.48224784786052
29,243.905292916667,-8.36943916666667,58900.3431430118,1.0,-104.150001525879,-100.85725402832,empty_1,46.1508486255043,46.1643088444252,68.7810502243519,68.76719795588,243.90373467136394,-8.37469708875938
30,189.9976325,-11.6230541666667,58900.347124403,5.0,-104.150001525879,-100.89087677002,empty_1,67.2293314917915,67.2111563964718,-39.1552082414273,-39.2252729053143,189.99503170404287,-11.615693694345959
31,189.9976325,-11.6230541666667,58900.3492474609,5.0,-104.150001525879,-100.857437133789,empty_1,66.8039268835273,66.7875215991371,-40.7390911097318,-40.7981090957765,189.99017831513927,-11.623178081457516
32,144.69658625,-60.0918727777778,58900.3578273591,10.0,-104.150001525879,-100.849266052246,empty_1,38.9267567380302,38.8998604400986,214.829458971275,214.833096493719,144.70764750719292,-60.08353383267799
33,307.078084166667,-87.472205,58900.3686868291,1.0,-104.150001525879,-100.876388549805,empty_1,29.9989475890179,29.9996941371937,176.942900348862,176.942795742711,306.9364700712664,-87.48402819931002
34,307.078084166667,-87.472205,58901.2156608598,1.0,-104.150001525879,-100.851676940918,empty_1,28.0569553955575,28.0573157056351,178.4895961773,178.488851417264,307.4481273244935,-87.48798004311662
35,243.905292916667,-8.36943916666667,58901.3225210155,20.0,-104.150001525879,-100.90128326416,RG610,40.8024648412247,40.8821425422211,73.7564929616783,73.6881458056305,243.89506697621712,-8.372613875569824
36,307.078084166667,-87.472205,58901.3732867427,5.0,-104.150001525879,-100.88892364502,RG610,30.1207998975297,30.1223198159714,176.890115369519,176.889953095873,306.82869514769186,-87.4658119121526
