,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022021500362,2022-02-16 05:37:01.717201,59626.23404765278,30.0,221.212932688812,-44.7793262105406,1.55409599838636,354.160400075823,125.184215534915,39.9827974124928,221.212789583333,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,39.9827974124928,40.0799698217888,125.184215534915,125.17237045287,221.20822609627714,-44.77198913793809,0.2823955520895488,-0.4402243561503897,0.5964658742221245,-0.1604504679253303,0.4837182605328764
2022021500363,2022-02-16 05:37:34.586656,59626.2344280863,30.0,221.213027098638,-44.7792760429679,1.55099329585138,354.161158416688,125.17237045287,40.0799698217888,221.212789583333,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,40.0799698217888,40.177248178341,125.17237045287,125.160761852254,221.20822946063896,-44.77200056394566,0.2878582799415947,-0.4365287413344325,0.5926139472474923,-0.1653484168557525,0.4819885992836103
2022021500368,2022-02-16 05:41:20.893170,59626.237047374656,30.0,221.345356528655,-44.7792190524466,1.53289610725444,355.158795499567,125.106375147108,40.6527452751179,221.34509375,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,40.6527452751179,40.7501568480511,125.106375147108,125.095933307413,221.34058727088814,-44.771950212289084,0.28615546600858177,-0.43613040945032355,0.5950020414159072,-0.16837002456238787,0.48111633916857427
2022021500369,2022-02-16 05:41:53.807957,59626.23742833283,30.0,221.34526096836,-44.7792814362482,1.52988135548714,355.159565511227,125.095933307413,40.7501568480511,221.34509375,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,40.7501568480511,40.8475036009331,125.095933307413,125.085607249726,221.3406276626806,-44.77192427829514,0.2779983407651937,-0.44142947718263875,0.6019209017116,-0.16290125764499003,0.48353303456710506
2022021500374,2022-02-16 05:45:37.850086,59626.24002141303,30.0,221.477706866573,-44.7797651906126,1.5126581976817,355.596287444379,125.03881700753101,41.3175097688218,221.477397916667,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,41.3175097688218,41.4149615748902,125.038817007531,125.028943796147,221.4729100360134,-44.77193799641764,0.28780983357594886,-0.4696316516973974,0.6432724385148012,-0.17215345470403465,0.5121476291032204
2022021500375,2022-02-16 05:46:10.826654,59626.24040308628,30.0,221.47761742744,-44.7792771486658,1.50975369875187,355.596305767027,125.028943796147,41.4149615748902,221.477397916667,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,41.4149615748902,41.5123999699135,125.028943796147,125.019914139499,221.47291860609243,-44.77193128199809,0.2819292808537179,-0.44075200006169724,0.6050173745436755,-0.17065750158079315,0.48406164592123274
2022021500380,2022-02-16 05:49:57.757901,59626.243029605335,30.0,221.88696115176,-45.1541546518881,1.49791587492613,356.701055700626,125.495473374118,41.8177569492836,221.8867925,-45.1541511388889,30.0,-94.1500015258789,,SDSSg,41.8177569492836,41.9146106227417,125.495473374118,125.488030244102,221.8821855966531,-45.14680083751229,0.28653330641192887,-0.44122886254805244,0.6067714100330316,-0.17804650204030015,0.48530191877607604
2022021500381,2022-02-16 05:50:30.762048,59626.243411597774,30.0,221.886991106007,-45.1541639120546,1.49510534225017,356.701229993453,125.488030244102,41.9146106227417,221.8867925,-45.1541511388889,30.0,-94.1500015258789,,SDSSg,41.9146106227417,42.0114642961853,125.488030244102,125.480768163194,221.88222649236621,-45.146772729727175,0.28587681844548074,-0.4434709396453697,0.6102868809386099,-0.17820042292018404,0.4871494921611814
2022021500386,2022-02-16 05:54:15.861005,59626.246016909776,30.0,222.020116429726,-45.1544337666189,1.47893694464159,357.020351863204,125.448546339263,42.4816278203507,222.019977916667,-45.1541511388889,30.0,-94.1500015258789,,SDSSg,42.4816278203507,42.5785016103619,125.448546339263,125.442109484662,222.01543348621016,-45.14675867514527,0.2809766109486009,-0.4605054884180974,0.6363896870620049,-0.17834814135890917,0.50132995819626
2022021500387,2022-02-16 05:54:48.733186,59626.24639737483,30.0,222.020183109995,-45.1541593102595,1.47624029452513,357.020323817177,125.44210948466201,42.5785016103619,222.019977916667,-45.1541511388889,30.0,-94.1500015258789,,SDSSg,42.5785016103619,42.6754433496826,125.442109484662,125.436247069825,222.01532163415783,-45.14675279320021,0.29168855022882534,-0.4443910235567471,0.6154994598071427,-0.18732051053536214,0.4896948701337949
