,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022031600265,2022-03-17 01:11:35.933958,59655.04972145784,30.0,359.996004192659,-89.8967270146738,1.9830172443647,37.1723842552341,180.156066049589,30.1931538268109,0.0,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.1931538268109,30.1927072390099,180.156066049589,180.155758042602,5.520110687648578,-89.89169069653697,21268.553610300623,-0.30217908820972944,-0.6467115050920906,-0.3904149706715846,0.6821539178796503
2022031600266,2022-03-17 01:12:08.819955,59655.05010208281,30.0,0.00704067758010238,-89.8967143292262,1.98304442263628,37.1613135874976,180.155758042602,30.192707239009895,0.0,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.1927072390099,30.1922552867909,180.155758042602,180.155416507987,5.5400536542807695,-89.8917235582492,-331.98077860204046,-0.2994462586199893,-0.6454223915587229,-0.39135841302194757,0.681783072884246
2022031600269,2022-03-17 01:14:05.238352,59655.05144951796,30.0,0.00542564068820156,-89.8967309936589,1.98313896377067,38.3984857003312,180.154535849346,30.1911157949944,0.0,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.1911157949944,30.1906575842877,180.154535849346,180.154197891025,5.50573244251976,-89.8917808157869,-330.0184081098932,-0.297010672321033,-0.6447418334363698,-0.384292910483039,0.6772746045957156
2022031600270,2022-03-17 01:14:38.081547,59655.05182964754,30.0,0.00337863712654155,-89.8967284636016,1.98316558957674,38.3999840553444,180.154197891025,30.1906575842877,0.0,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.1906575842877,30.1901904328843,180.154197891025,180.153859932674,5.472070076694115,-89.8917629173134,-328.12148637405437,-0.29793277729310996,-0.6449033846403385,-0.37933744998668395,0.6745928066098821
2022031600276,2022-03-17 01:19:55.327694,59655.05550147794,30.0,229.09331950715,-89.8967465099503,1.98183899366841,341.096301168931,179.935744930466,30.213098733031103,229.090909166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2130987330311,30.2131000741501,179.935744930466,179.935426641663,224.99889380696632,-89.89888210652376,245.66554201101954,0.12813579440731748,-0.02582998967576477,-0.4558136948707738,0.4563787290393664
2022031600277,2022-03-17 01:21:24.015933,59655.05652796218,30.0,261.836805017765,-89.8967774860355,1.98469635189595,232.15446739742404,179.969629723986,30.164742527820597,261.818181666667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.1647425278206,30.1646714492817,179.969629723986,179.969188947638,259.37692424821677,-89.90828145178082,147.5928461728899,0.6902379447189902,-0.3363587379724291,-0.6741818593921108,0.7343306219863402
2022031600278,2022-03-17 01:21:56.761859,59655.05690696596,30.0,261.82647393081,-89.8967588392987,1.98470041344543,232.16469192931396,179.969188947638,30.1646714492817,261.818181666667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.1646714492817,30.1645994766732,179.969188947638,179.968782592972,259.3334806580843,-89.90819241530404,149.57959636354167,0.6860145603203767,-0.3322665475690603,-0.6727059105274567,0.7315773927357134
2022031600281,2022-03-17 01:23:52.772223,59655.05824967851,30.0,261.832066275642,-89.8967588123691,1.98471337645272,231.108641916384,179.96775530692,30.164445249654804,261.818181666667,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.1644452496548,30.1643840058823,179.96775530692,179.967348058184,259.2918118697744,-89.90820499483425,152.4152643520537,0.6867709479094234,-0.33567032487285475,-0.6740414436762671,0.73396621052297
2022031600282,2022-03-17 01:24:25.594298,59655.05862956363,30.0,261.831753647306,-89.896764475276,1.98471723719178,231.109014576171,179.967348058184,30.1643840058823,261.818181666667,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.1643840058823,30.1643173976918,179.967348058184,179.966926951369,259.35258351597093,-89.90808773288481,148.75020788010607,0.6793954565271837,-0.33624967624402186,-0.6639712118103995,0.7249295543765701
2022031600283,2022-03-17 01:26:01.627978,59655.05974106456,30.0,32.6812784202566,-89.8966885633842,1.9804612212659,8.86421691604854,180.16834207323,30.2364259048481,32.7272729166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.2364259048481,30.236031620123,180.16834207323,180.168115873603,36.1465891212228,-89.88731279733453,-207.91864205797228,-0.5625459629801824,-0.6565705327403487,-0.3840298559439593,0.6853604695936906
2022031600284,2022-03-17 01:26:34.418085,59655.06012057969,30.0,32.7299432730932,-89.8967044282658,1.98048944356769,8.81129472606525,180.168115873603,30.236031620123,32.7272729166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.236031620123,30.2355622335454,180.168115873603,180.167903532041,36.12665022256089,-89.88730939277059,-203.80241696806215,-0.5637021297130937,-0.658720453730386,-0.37502024626646085,0.6819064909261902
2022031600287,2022-03-17 01:28:30.704830,59655.06146649109,30.0,32.7308498651074,-89.8967232056664,1.98058912482795,10.0576358637506,180.167312999038,30.234344510652598,32.7272729166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2343445106526,30.2338661833783,180.167312999038,180.167093951968,36.287427740544125,-89.88742586174135,-213.39467252620275,-0.5578406355045183,-0.6554290087198867,-0.3889391267209616,0.6873192848393024
2022031600288,2022-03-17 01:29:03.521013,59655.06184630803,30.0,32.7319629360451,-89.8967242257726,1.98061723101436,10.0562719105039,180.167093951968,30.2338661833783,32.7272729166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2338661833783,30.2333990319748,180.167093951968,180.166874010829,36.29081788842029,-89.88747603962757,-213.53129714251187,-0.554891168701142,-0.6530775691668649,-0.38784212425683395,0.6850246188575617
2022031600289,2022-03-17 01:30:03.642955,59655.062542163825,30.0,65.4527838754886,-89.8967358763648,1.97734372409024,0.014425905420322903,180.150945712594,30.289553759910596,65.4545454166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2895537599106,30.2891040428658,180.150945712594,180.150879998473,66.79452503435688,-89.88467040045114,-80.50446953209531,-0.723928554818723,-0.6374861599996547,-0.49409498393301216,0.7399886487673737
2022031600290,2022-03-17 01:30:36.492445,59655.062922366254,30.0,65.4516273967984,-89.8967386894906,1.97736994985332,0.015158588189633802,180.150879998473,30.289104042865805,65.4545454166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2891040428658,30.2886860652943,180.150879998473,180.15081964877,66.79142018504577,-89.88469971276623,-80.3875672948416,-0.7223386034619461,-0.637416176235728,-0.49175140809584916,0.738382611753856
2022031600293,2022-03-17 01:32:31.770698,59655.0642566053,30.0,65.4545779040637,-89.8967395926179,1.97746120676972,0.0120445497878225,180.15064307001,30.287553279020397,65.4545454166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.2875532790204,30.2871084793587,180.15064307001,180.150568862227,66.75546239753939,-89.88471984280491,-78.05306960854334,-0.7211849887791402,-0.6436946569273989,-0.4824867193188559,0.7363410931452761
2022031600294,2022-03-17 01:33:04.513113,59655.064635568444,30.0,65.4561647408974,-89.8967425171065,1.97748720117833,0.0102833248966365,180.150568862227,30.2871084793587,65.4545454166667,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.2871084793587,30.2866797729512,180.150568862227,180.150504489211,66.7863907501193,-89.88477488104556,-79.81356055331175,-0.7180581636557327,-0.6398324974478188,-0.48268822525020394,0.7339577344721911
2022031600295,2022-03-17 01:34:12.745743,59655.06542529795,30.0,98.1821911683368,-89.8967341292578,1.97514330294157,0.0166825265219564,180.102392364992,30.3271136268158,98.1818183333334,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.3271136268158,30.3267680688878,180.102392364992,180.102431704072,97.28100356495838,-89.88411536360998,54.071256202703495,-0.7571259388694727,-0.5357397543067992,-0.608057673035486,0.764131744144374
