,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,PNT_OFFSET
2020021900197,2020-02-20 01:24:14.014998,58899.058495543955,2.0,307.078084166667,-87.472205,2.1266145504324925,255.83863999999997,181.374865402249,28.0492896421929,307.078084166667,-87.472205,2.0,-104.150001525879,-100.78182220459,empty_1,28.0492896421929,28.0488314314862,181.374865402249,181.373593141092,306.9538126514302,-87.46312711952852,7.456290914210476,-0.5446728282879048,0.6365536423355065
2020021900209,2020-02-20 01:37:35.943999,58899.06777712962,2.0,307.078084166667,-87.472205,2.13032143167227,255.877855,181.222992022304,27.9961823507329,307.078084166667,-87.472205,2.0,-104.150001525879,-100.794738769531,empty_1,27.9961823507329,27.9957934304257,181.222992022304,181.221983958734,307.14066282873523,-87.47749547585673,-3.7547197240915713,0.31742855140384774,0.3579473695123531
2020021900226,2020-02-20 02:25:18.389498,58899.10090728586,5.0,122.85788208333298,-42.9872772222222,1.0320716623349113,-20.806649,154.989825565775,75.6789604409423,122.857882083333,-42.9872772222222,5.0,-104.150001525879,-100.845733642578,empty_1,75.6789604409423,75.6911421402183,154.989825565775,155.074431378802,122.86427583719468,-42.98492259401595,-0.3836252317018663,-0.14127769237449317,0.31418487035269654
2020021900227,2020-02-20 02:29:27.338502,58899.103788640066,5.0,67.0904266666667,-23.4439513888889,1.3773602593626533,38.770617,266.806411672165,46.5543047173851,67.0904266666667,-23.4439513888889,5.0,-104.150001525879,-100.830123901367,empty_1,46.5543047173851,46.5254168792599,266.806411672165,266.791236180594,67.08975820435248,-23.442845485308517,0.04010773885367987,-0.06635421482324431,0.07587423864400873
2020021900228,2020-02-20 02:33:30.355999,58899.10660134258,5.0,67.0904266666667,-23.4439513888889,1.397724650360368,40.51483,266.350708830898,45.6799671634071,67.0904266666667,-23.4439513888889,5.0,-104.150001525879,-100.842018127441,empty_1,45.6799671634071,45.6511647089355,266.350708830898,266.335638839533,67.09265547346682,-23.441986373556176,-0.1337284080069743,-0.11790091996370847,0.17015717211137169
2020021900229,2020-02-20 02:35:48.318999,58899.10819813656,5.0,122.85788208333298,-42.9872772222222,1.0283928570345255,-22.411145,162.174766142343,76.5051845296111,122.857882083333,-42.9872772222222,5.0,-104.150001525879,-100.84935760498,empty_1,76.5051845296111,76.5128610118118,162.174766142343,162.2601345968,122.86729940664763,-42.9862215723433,-0.565039398878367,-0.06333899273329069,0.4181576285406863
2020021900230,2020-02-20 02:38:47.965499,58899.11027737845,5.0,151.94111,-40.6040447222222,1.1464530494941159,-170.826431,120.133247156162,60.721812753283295,151.94111,-40.6040447222222,5.0,-104.150001525879,-100.860504150391,empty_1,60.7218127532833,60.7467134877079,120.133247156162,120.142215569038,151.93952252088525,-40.60750828064483,0.09524874688363331,0.20781350535847665,0.22003563235687354
2020021900231,2020-02-20 02:40:35.854999,58899.11152609952,5.0,151.94111,-40.6040447222222,1.1427046471740505,-171.5026,120.250079263453,61.058798341357,151.94111,-40.6040447222222,5.0,-104.150001525879,-100.835983276367,empty_1,61.058798341357,61.0836615248554,120.250079263453,120.259536732439,151.94031761529754,-40.60375911881122,0.047543082144950774,-0.017136204658055244,0.039957102959426824
2020021900319,2020-02-20 06:29:49.893500,58899.270716359955,50.0,200.976031666667,-46.2001397222222,1.1057420236291364,-130.32786,136.217358489026,64.7385763211932,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.877876281738,RG610,64.7385763211932,64.8704954071727,136.217358489026,136.399056245064,201.02382573093402,-46.16771311493343,-2.867643856024708,-1.9455964373271557,2.7797771141247383
2020021900320,2020-02-20 06:30:48.302500,58899.27139239005,50.0,200.976031666667,-46.2001397222222,1.104432660224572,-130.621761,136.416287649845,64.8829135878914,200.976031666667,-46.2001397222222,50.0,-104.150001525879,-100.87899017334,RG610,64.8829135878914,65.0142926557746,136.416287649845,136.600906331514,201.0239782474389,-46.1677348217893,-2.8767948463169186,-1.9442940259746877,2.783395540915423
