,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022050300258,2022-05-04 00:14:15.908501,59703.009906348394,30.0,221.54900450995393,-45.529017802480844,1.6852056229594439,346.66736167314525,126.70141019343282,36.3209276481648,221.54877140729172,-45.529016705958334,30.0,-94.15,-90.4059,SDSSr,36.3209276481648,36.41635259828763,-233.29858980656718,-233.31563837410067,221.549069138506,-45.52313190347076,-0.0038777131262989137,-0.3531539406046748,0.4341963676532159,0.051704476780430594,0.35316438954008256
2022050300259,2022-05-04 00:14:48.459006,59703.01028309035,30.0,221.5489583981803,-45.52901062033823,1.6814671755728101,346.6671432863779,126.68436162589931,36.41635259828763,221.54877140729172,-45.529016705958334,30.0,-94.15,-90.4173,SDSSr,36.41635259828763,36.511733738996554,-233.31563837410067,-233.3324982929189,221.54905303125827,-45.523152788444854,-0.005677984678488159,-0.3514699136020788,0.4325309480023395,0.0521897764824537,0.3514924237027578
2022050300260,2022-05-04 00:15:29.171000,59703.01075429399,30.0,221.54900550025184,-45.529010837356,1.6768382006178633,346.92941050993124,126.66343860745837,36.53486734471517,221.54877140729172,-45.529016705958334,30.0,-94.15,-90.3944,SDSSg,36.53486734471517,36.627458541013766,-233.33656139254163,-233.35273198365758,221.54929953741174,-45.523151424756875,-0.017642229597869225,-0.35156475594693887,0.432017045854372,0.059844353792450546,0.35178195531106204
2022050300261,2022-05-04 00:16:01.722994,59703.011131053165,30.0,221.5489452792115,-45.529013387010345,1.6731393481937742,346.92923304315553,126.64726801634242,36.627458541013766,221.54877140729172,-45.529016705958334,30.0,-94.15,-90.4029,SDSSg,36.627458541013766,36.722902266599704,-233.35273198365758,-233.36923203944752,221.5492439982839,-45.523174543327585,-0.01792314434889384,-0.3503306209661635,0.4311016431425331,0.05934432640068163,0.35055557913532925
2022050300262,2022-05-04 00:16:42.954504,59703.01160826972,30.0,221.54900679118913,-45.52902112149815,1.6684987181946855,347.4237448046488,126.6268117022555,36.746022908293526,221.54877140729172,-45.529016705958334,30.0,-94.15,-90.378,SDSSi,36.746022908293526,36.841576604463626,-233.3731882977445,-233.3894862938032,221.5490601185075,-45.52320460571065,-0.0031996391036631083,-0.3489909472492627,0.4319586470858147,0.048273378555559625,0.3489981462784797
2022050300263,2022-05-04 00:17:15.520500,59703.01198519097,30.0,221.54891422602867,-45.52903682610714,1.6648446419387215,347.42317445225956,126.6105137061968,36.841576604463626,221.54877140729172,-45.529016705958334,30.0,-94.15,-90.3987,SDSSi,36.841576604463626,36.9370332940598,-233.3894862938032,-233.40564481496403,221.5490634742056,-45.523155462851385,-0.008954890617329838,-0.35288179534555514,0.4367538479607462,0.05224906910455701,0.3529375585660033
2022050300264,2022-05-04 00:17:57.316499,59703.01246894096,30.0,221.08070933797353,-44.7793961599703,1.6515457662829651,347.9019137966741,125.60468130231311,37.190334854938556,221.08048511575004,-44.77927084633889,30.0,-94.15,-90.4213,SDSSi,37.190334854938556,37.28704503021436,-234.3953186976869,-234.4122215318639,221.08084888230138,-44.773446837901986,-0.008372659672714076,-0.35695932409818,0.44374039122441133,0.053390186049005944,0.35700880006127506
2022050300265,2022-05-04 00:18:29.876501,59703.01284579284,30.0,221.08074793769427,-44.7792768471068,1.6479450619147742,347.90187799552314,125.58830149887943,37.284102199890185,221.08048511575004,-44.77927084633889,30.0,-94.15,-90.2546,SDSSi,37.284102199890185,37.38090401730733,-234.41169850112055,-234.42829422235081,221.08082038174325,-44.773407344150115,-0.004346642938425853,-0.352170177400688,0.43890342174718555,0.04939695941075789,0.3521836939060993
2022050300266,2022-05-04 00:19:10.361004,59703.013314363474,30.0,221.08057087521118,-44.77925812128622,1.643507833004247,348.08266441023045,125.5676855933707,37.40444576581649,221.08048511575004,-44.77927084633889,30.0,-94.15,-90.4178,SDSSg,37.40444576581649,37.50115057667426,-234.4323144066293,-234.44867230534146,221.08109355547194,-44.773355815629095,-0.031360815649768975,-0.3541383394285203,0.4390406484969257,0.06801440647311251,0.3548373621188333
2022050300267,2022-05-04 00:19:42.917506,59703.013691174834,30.0,221.08065150537337,-44.77927320025127,1.6399449706761644,348.0826564407551,125.55182971477916,37.49824529729085,221.08048511575004,-44.77927084633889,30.0,-94.15,-90.3756,SDSSg,37.49824529729085,37.595058737613726,-234.44817028522084,-234.4643882620294,221.08104687147613,-44.77336252445573,-0.02372196616613308,-0.3546405477324865,0.44123931413113343,0.06217681375244677,0.3550401115519168
2022050300268,2022-05-04 00:26:30.408999,59703.01840751157,30.0,222.0249281679505,-45.71715367759159,1.616575090130377,349.1442544118828,126.64502703069593,38.14229017337493,222.0246544639584,-45.716443974175,30.0,-94.15,-90.5033,SDSSr,38.14229017337493,38.237707523905556,126.64502703069593,126.63061149834539,222.02160431784634,-45.711037664110215,0.19943100624508503,-0.3669608088826025,0.48356804596174496,-0.09912788810277476,0.3924932475777216
2022050300269,2022-05-04 00:27:02.957992,59703.018784236025,30.0,222.02490657065954,-45.716453793682284,1.6132139066051434,349.14375689219645,126.6310187470808,38.23478972754674,222.0246544639584,-45.716443974175,30.0,-94.15,-90.5167,SDSSr,38.23478972754674,38.32741087516479,126.63101874708082,126.61804624318029,222.021548797019,-45.71096555570143,0.20146641843177202,-0.3292942788515054,0.4364352865788144,-0.1051101560633003,0.35808314179092116
2022050300270,2022-05-04 00:27:43.412491,59703.01925245939,30.0,222.0248461536693,-45.71645355215583,1.6090716308599196,349.3327081685427,126.61524154662038,38.3476624472969,222.0246544639584,-45.716443974175,30.0,-94.15,-90.5345,SDSSg,38.3476624472969,38.44605794391828,126.61524154662038,126.6016749334085,222.02185104302356,-45.710893255914485,0.17970663874239678,-0.33361777448163604,0.44036148284204235,-0.09021413359830974,0.35643490374296743
2022050300271,2022-05-04 00:28:15.963504,59703.01962920722,30.0,222.02482897731485,-45.716441331326614,1.6057447493129586,349.33114171328793,126.60167493340852,38.44605794391828,222.0246544639584,-45.716443974175,30.0,-94.15,-90.5269,SDSSg,38.44605794391828,38.54156246622733,126.6016749334085,126.58870511173154,222.0217753878168,-45.71092184437601,0.18321536987907405,-0.3311692170373328,0.4379628519056231,-0.09344054471058193,0.3550195837366221
2022050300272,2022-05-04 00:28:57.157496,59703.02010598953,30.0,222.02484372992424,-45.71644178309777,1.6015702795327296,349.84088325493667,126.58558614968206,38.56471171817975,222.0246544639584,-45.716443974175,30.0,-94.15,-90.526,SDSSi,38.56471171817975,38.66027077873878,126.58558614968206,126.57282777546789,222.02169686132902,-45.710910296685796,0.18881211571236858,-0.3318891847176019,0.4398729326374342,-0.09793507349164857,0.35711542651385614
2022050300273,2022-05-04 00:29:29.708000,59703.02048273148,30.0,222.02479937906102,-45.71644069056055,1.5982877645029259,349.84027108097933,126.57282777546787,38.66027077873878,222.0246544639584,-45.716443974175,30.0,-94.15,-90.53,SDSSi,38.66027077873878,38.75570466955833,126.57282777546789,126.56025939105893,222.0216549937982,-45.710871206761006,0.18866311577053063,-0.33416902797272513,0.443153162859969,-0.0981450070603605,0.35919705909262867
2022050300274,2022-05-04 00:30:10.756500,59703.02095782986,30.0,221.6210559705948,-45.435609309272465,1.585508766460375,349.8788530818326,126.1627189111605,39.03228244026832,221.62081784387505,-45.43530171622222,30.0,-94.15,-90.5497,SDSSi,39.03228244026832,39.12808066449361,126.16271891116048,126.15074910639669,221.6183296746321,-45.43026782189089,0.1635777577598367,-0.3204892428946153,0.42550107466977577,-0.08351546400522006,0.34042622899671554
