,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022052400045,2022-05-25 00:04:52.104498,59724.0033808391,30.0,221.87450959909546,-44.77909910399022,1.3251887376675824,357.86104469965505,124.9778450321901,48.9399655743473,221.87431091512505,-44.77927084633889,30.0,-94.15,-90.5987,SDSSg,48.9399655743473,49.037478624188225,124.97784503219009,124.9869605195272,221.8676869831168,-44.76519351584241,0.409356958718336,-0.8343352888686277,1.241683562836338,-0.34411859392004124,0.8834977813554651
2022052400046,2022-05-25 00:06:29.619494,59724.00450948489,30.0,220.81810830409967,-45.43500472870791,1.3060340425580297,359.99927454267777,126.10591911194206,49.91924232085876,220.81784386616673,-45.43530171622222,30.0,-94.15,-90.6138,SDSSg,49.91924232085876,50.01239499291114,126.10591911194206,126.11969270226837,220.8117775590409,-45.421074275722354,0.379844703522992,-0.8358271791333808,1.2542344506222824,-0.3471637720783839,0.8773085113454145
2022052400047,2022-05-25 00:07:02.186002,59724.00488641206,30.0,220.81820722719786,-45.43505596271827,1.3042229938579184,359.99915380931276,126.11969270226838,50.01239499291114,220.81784386616673,-45.43530171622222,30.0,-94.15,-90.5657,SDSSg,50.01239499291114,50.10861924132041,126.11969270226837,126.13412745711685,220.81173257562355,-45.42110046397621,0.38847909445712275,-0.8373299245229957,1.2570828419067033,-0.3548631929464883,0.8805974655664686
2022052400048,2022-05-25 00:07:42.965992,59724.00535840268,30.0,220.81807231774923,-45.43503721074303,1.301965301919938,359.9990463155036,126.13766886708618,50.13191377957992,220.81784386616673,-45.43530171622222,30.0,-94.15,-90.6134,SDSSi,50.13191377957992,50.22798201283149,126.13766886708618,126.15251265880943,220.81169199225258,-45.4211053612625,0.382819529797719,-0.8359109688321551,1.2573233026448392,-0.352676342921655,0.8780248659127431
2022052400049,2022-05-25 00:08:15.531005,59724.00573531256,30.0,220.81811767546552,-45.4350463415132,1.3001742392079034,359.99909397276207,126.15251265880943,50.22798201283149,220.81784386616673,-45.43530171622222,30.0,-94.15,-90.5839,SDSSi,50.22798201283149,50.321220962607185,126.15251265880943,126.16718165992643,220.811669309671,-45.42109108684607,0.38690194766846686,-0.837315280027782,1.2605023521122607,-0.35719652566112137,0.8802414943201143
2022052400050,2022-05-25 00:08:56.312491,59724.006207320504,30.0,220.81798836213684,-45.43502806247086,1.297944317811833,359.99917428998765,126.17090680119873,50.3445356174343,220.81784386616673,-45.43530171622222,30.0,-94.15,-90.5618,SDSSr,50.3445356174343,50.44048762162856,126.17090680119873,126.18641935703636,220.81177440053693,-45.4211573740391,0.3728376959913909,-0.832241305905424,1.2560491582541708,-0.34875770238616394,0.8724052880902461
2022052400051,2022-05-25 00:09:28.883003,59724.00658429401,30.0,220.8181438474438,-45.43502149029549,1.2961811662060798,359.99906635884656,126.18641935703634,50.44048762162856,220.81784386616673,-45.43530171622222,30.0,-94.15,-90.5639,SDSSr,50.44048762162856,50.53657328923873,126.18641935703636,126.20228998777748,220.8117567567569,-45.42114505839684,0.38322544121181823,-0.8325859139184358,1.2568197774595598,-0.35756614724489555,0.8749473931679633
2022052400052,2022-05-25 00:10:09.610495,59724.00705567703,30.0,220.7449084345298,-45.52856453165411,1.293220743011543,359.99847745952445,126.36124931690574,50.60064679225616,220.74460163812506,-45.529016705958334,30.0,-94.15,-90.599,SDSSr,50.60064679225616,50.69358712276153,126.36124931690574,126.37768768188835,220.7384665486318,-45.51485835309812,0.38651315387752994,-0.8223707133584491,1.2416459514088278,-0.3625641054240028,0.8658115083470569
2022052400053,2022-05-25 00:10:42.174003,59724.00743256948,30.0,220.744857474643,-45.528715504575786,1.291476018937016,359.99900613847785,126.37768768188835,50.69358712276153,220.74460163812506,-45.529016705958334,30.0,-94.15,-90.5777,SDSSr,50.69358712276153,50.7893857940071,126.37768768188835,126.39469467518211,220.73854509352591,-45.514833601971745,0.37874286702514953,-0.8329141562425554,1.2606169493416466,-0.35988974290472286,0.8741640711385661
2022052400054,2022-05-25 00:11:22.949009,59724.007904502425,30.0,220.74480636352084,-45.528716271919144,1.289301073356319,359.99916749246785,126.39889859077813,50.812649933897774,220.74460163812506,-45.529016705958334,30.0,-94.15,-90.6007,SDSSg,50.812649933897774,50.908375291430275,126.39889859077812,126.41631998537923,220.7385768900406,-45.514864806797114,0.37376840881156886,-0.8310879073206987,1.260212689638447,-0.35813907059927924,0.8713703701133664
