,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022121200527,2022-12-13 04:24:37.219504,59926.18376411463,30.0,89.29973113116493,-53.01393294517086,1.0983849344035364,359.9989913456808,161.78327046748018,65.53843206008605,89.29954166666668,-53.01394722222222,30.0,-94.15,-90.4808,SDSSi_65mm,89.30085298453555,-53.01455089098111,-0.0673112022382147,0.0370767486150563,0.0479358391660451,0.0511974613742871,0.0549051288130684
2022121200476,2022-12-13 03:51:39.487505,59926.160873697976,30.0,89.61119930755646,-53.20198240783463,1.127328856105367,359.9982951162198,152.33590089199424,62.473886220061104,89.61095833333336,-53.202000000000005,30.0,-94.15,-90.3649,SDSSg_65mm,89.61371943910069,-53.20282132630449,-0.151207892656263,0.0503351081909423,0.0736934421189501,0.0978825490955051,0.1036190811390853
2022121200711,2022-12-13 06:25:43.881005,59926.26786899312,30.0,90.0817022262396,-53.013987381885705,1.1116898235118804,0.0015721006677689,203.84493507885784,64.07338982661895,90.08150000000002,-53.01394722222222,30.0,-94.15,-90.4769,SDSSi_65mm,90.08061378380576,-53.01253258295537,0.0653065460315819,-0.0872879358201301,-0.1887559480520314,-0.0478071588649428,0.095723134105274
2022121200569,2022-12-13 04:51:52.492998,59926.20269089118,30.0,89.61324520765571,-52.91990539902864,1.0864551614756142,359.9993075066401,170.85720189329004,66.9646582587593,89.61300000000001,-52.91992222222222,30.0,-94.15,-90.4272,SDSSr_65mm,89.61355844201383,-52.92010343550519,-0.0187940614871584,0.0118821885928837,0.0215115179172434,0.0140948542706822,0.0164191703733629
2022121200533,2022-12-13 04:28:30.796008,59926.18646754639,30.0,89.45619228078812,-53.01392750879476,1.0965320212686342,359.9989178561756,162.86023237224435,65.75329443653754,89.45595833333334,-53.01394722222222,30.0,-94.15,-90.4978,SDSSr_65mm,89.45721163765425,-53.0143666500484,-0.0611614119694433,0.0263484752196876,0.0546149020173398,0.0393162120654835,0.0452567416121244
2022121200695,2022-12-13 06:15:20.747491,59926.26065679966,30.0,90.08204488876846,-53.1080122578184,1.10454165383225,0.001227799444675,200.69461085344665,64.8481624408596,90.08183333333336,-53.107975,30.0,-94.15,-90.4791,SDSSg_65mm,90.0806662493808,-53.10671932320565,0.0827183632574139,-0.0775760767641915,-0.1930988982473921,-0.0410620964066563,0.0921080482228133
2022121200727,2022-12-13 06:36:04.903495,59926.27505675341,30.0,90.39446345669016,-53.01391407369321,1.1197458799886215,0.0014887706625268,206.28970377589576,63.236553577982704,90.39425000000004,-53.01394722222222,30.0,-94.15,-90.4414,SDSSr_65mm,90.39349922092934,-53.01223369964873,0.0578541456494653,-0.1008224426687225,-0.2016876116190029,-0.0551840544015166,0.1066615615793025
2022121200466,2022-12-13 03:45:08.919502,59926.15635323498,30.0,89.29707396097547,-53.20200399249721,1.1329104298805268,359.9981969620316,151.10180400726676,61.93650519689254,89.29683333333335,-53.202000000000005,30.0,-94.15,-90.2984,SDSSi_65mm,89.3001857069904,-53.20270615323778,-0.1867047608962931,0.0421296444347721,0.109215744481257,0.1079414480300506,0.1195066641685587
2022121200493,2022-12-13 04:02:35.711506,59926.16846888317,30.0,89.29845225772888,-53.10793707684032,1.115085924456614,359.99839195201866,155.3283400129876,63.71147534092597,89.29820833333336,-53.107975,30.0,-94.15,-90.5153,SDSSi_65mm,89.30029063128276,-53.108787594541454,-0.1103024132339146,0.0510310620687559,0.0512578511598972,0.0804654921236398,0.0835977608560436
2022121200599,2022-12-13 05:11:20.222506,59926.21620627901,30.0,89.61388148472444,-52.82591160452418,1.082572712896959,359.99977825523933,178.3437412273488,67.45498350102571,89.61366666666669,-52.825897222222224,30.0,-94.15,-90.4383,SDSSi_65mm,89.61379011953383,-52.82582568111947,0.005481911436307,-0.0051554042817323,-0.0081575999846842,-0.0052663295513241,0.0061278137260151
2022121200614,2022-12-13 05:22:38.940001,59926.224061805566,30.0,89.30382670641933,-52.73186684309682,1.0821585105767997,0.0002942646391384,183.30757312920468,67.50856196721725,89.30362500000001,-52.73187222222223,30.0,-94.15,-90.4632,SDSSi_65mm,89.30203086712822,-52.73157404728568,0.1077503574646801,-0.0175677486686766,-0.1735552901153136,-0.0116756988187337,0.0675716495487802
2022121200632,2022-12-13 05:34:20.743501,59926.23218453125,30.0,89.6153246570935,-52.637841491916674,1.0831035249032284,0.0001966978461758,187.4354677691736,67.38826399882964,89.61504166666668,-52.63784722222222,30.0,-94.15,-90.4684,SDSSr_65mm,89.61321675176522,-52.63735383859916,0.1264743196956102,-0.0292591990503781,-0.2098326793607646,-0.0140625703267146,0.082139474722865
2022121200749,2022-12-13 06:50:21.429002,59926.28497024308,30.0,90.08095308425186,-52.82593514566334,1.1346451733447818,0.0018878263393071,210.27878649975173,61.77942341407471,90.0807916666667,-52.825897222222224,30.0,-94.15,-90.5137,SDSSg_65mm,90.0802447497102,-52.824085247392304,0.0425000724979297,-0.1109938962627536,-0.2063801892498976,-0.0579293017082573,0.1139260494116054
2022121200626,2022-12-13 05:30:26.681506,59926.2294754804,30.0,89.30522156286295,-52.63785415308249,1.0825512393218126,0.0002658342667746,186.39903627778403,67.45853876907495,89.30495833333337,-52.63784722222222,30.0,-94.15,-90.4764,SDSSi_65mm,89.30321280436982,-52.63740233331581,0.1205255095880713,-0.0271091860000762,-0.1992808869149147,-0.0146332606355387,0.0780036558396304
2022121200758,2022-12-13 06:56:04.583497,59926.28894193863,30.0,90.23673268413476,-52.82590869612673,1.1407413584516668,0.0017557080895279,211.37423642420617,61.21326452335052,90.2365,-52.825897222222224,30.0,-94.15,-90.5063,SDSSi_65mm,90.23632069498645,-52.82393428673456,0.0247193488982552,-0.1184645635297883,-0.2034463104065906,-0.0675161341673945,0.1194025072537109
2022121200740,2022-12-13 06:44:24.190992,59926.28083554389,30.0,90.2374242588201,-52.91993796200254,1.1280254458203378,0.0015976459418824,208.63389499926416,62.413114069306175,90.23720833333336,-52.91992222222222,30.0,-94.15,-90.4964,SDSSr_65mm,90.23672486495236,-52.91812389575168,0.0419636320631829,-0.1088439750524947,-0.2007481784033614,-0.0612836147890124,0.1117460777812127
2022121200445,2022-12-13 03:30:16.124001,59926.14601995372,30.0,13.946028130566129,-72.61161104841493,1.5345061990906983,0.0071501206395864,197.3816692128312,40.60834085782699,13.945708333333334,-72.61161944444444,30.0,-94.15,-90.4476,SDSSi_65mm,13.945301885973388,-72.6097713676652,0.0435746755645986,-0.1103808449841396,-0.1338439528884798,-0.0446219214631268,0.111146414555707
2022121200735,2022-12-13 06:41:17.638505,59926.27867637159,30.0,90.23750744351604,-52.91994518319753,1.1247780308666968,0.0017323807547641,207.88949661397783,62.73129334887199,90.23720833333336,-52.91992222222222,30.0,-94.15,-90.4878,SDSSi_65mm,90.2368007603432,-52.91817682387928,0.0424009903684665,-0.1061015590952508,-0.1963098059280517,-0.0611483212231543,0.1091381174568311
2022121200600,2022-12-13 05:12:07.191501,59926.21674990164,30.0,89.76967807953973,-52.82592278491599,1.0825676474032675,359.999878357857,178.40753220435,67.45562365492515,89.76937500000004,-52.825897222222224,30.0,-94.15,-90.4722,SDSSi_65mm,89.76961909245674,-52.82581319899983,0.0035392249789768,-0.0065751549695177,-0.0050033065127124,-0.0066417934115272,0.0069141892664423
2022121200638,2022-12-13 05:38:14.981993,59926.234895624926,30.0,89.92533130478749,-52.731869131163805,1.0844671170346096,0.0002226970915966,188.41334663773887,67.2156830712047,89.92508333333335,-52.73187222222223,30.0,-94.15,-90.3517,SDSSi_65mm,89.923432617847,-52.73130813735053,0.1139212164299281,-0.0336596287959538,-0.1920566715964874,-0.0180081021126087,0.0767586853699722
2022121200470,2022-12-13 03:47:45.844502,59926.15816949655,30.0,89.45410526986952,-53.20200717163518,1.130755305316537,359.99827824823905,151.56242199656845,62.142809091412346,89.45387500000002,-53.202000000000005,30.0,-94.15,-90.3555,SDSSg_65mm,89.45692072951314,-53.20285340539188,-0.1689275786188187,0.0507740254029924,0.0838858308807394,0.1062333548584385,0.1132103423971724
2022121200545,2022-12-13 04:36:18.254004,59926.19187793986,30.0,89.76894408206775,-53.01392676797316,1.0932117355743365,0.0067782604887333,165.07759802456712,66.14313563545875,89.76870833333335,-53.01394722222222,30.0,-94.15,-90.4704,SDSSr_65mm,89.76968139126612,-53.01441820615755,-0.0442385519040075,0.0294862910637812,0.0347482137147447,0.0371536918279055,0.0397213144739989
2022121200753,2022-12-13 06:52:57.985509,59926.28678223969,30.0,90.23684582132664,-52.82590494362729,1.1369783928232702,0.0017209703328657,210.71463831209985,61.559807269179146,90.2365,-52.825897222222224,30.0,-94.15,-90.4726,SDSSr_65mm,90.23618450132764,-52.8240514994668,0.0396791999405325,-0.1112066496302056,-0.2044465518579005,-0.0579923355721775,0.1137619375986232
2022121200576,2022-12-13 04:56:33.185493,59926.20593964691,30.0,89.92540668604491,-52.91994059450359,1.0855827698790468,0.0085462480907974,172.15577952977037,67.07369541963271,89.92508333333335,-52.91992222222222,30.0,-94.15,-90.4566,SDSSi_65mm,89.92568973730617,-52.91997141040434,-0.0169830756782737,0.0018489540457768,0.024897029703631,0.0037516007678975,0.0104052012021406
2022121200698,2022-12-13 06:17:10.332,59926.2619251389,30.0,90.08202296595783,-53.10795219108109,1.1058252530859225,0.0011765441581679,201.242785532726,64.70727673014335,90.08183333333336,-53.107975,30.0,-94.15,-90.4822,SDSSi_65mm,90.08085753374525,-53.10671953584411,0.0699259327559579,-0.0739593142179138,-0.1738475045934328,-0.0407864125920375,0.0850418399553124
2022121200619,2022-12-13 05:26:00.573994,59926.226395532336,30.0,89.61453927179808,-52.7318721341181,1.082398678461047,0.0098442556589834,184.14515503194707,67.47781312305597,89.61433333333336,-52.73187222222223,30.0,-94.15,-90.4722,SDSSr_65mm,89.61246365095879,-52.73155192456467,0.1245372503563629,-0.0192125732044881,-0.2006851990971496,-0.0108032542646288,0.0778221482252903
2022121200480,2022-12-13 03:54:16.186492,59926.16268734366,30.0,89.76836328747639,-53.20200980242792,1.1253197557085832,359.99837099073966,152.82111205575347,62.67184084493783,89.76804166666668,-53.202000000000005,30.0,-94.15,-90.494,SDSSi_65mm,89.77063612488666,-53.20275478254229,-0.1363702446182814,0.0446988068630335,0.0706904421468459,0.0872964261401201,0.0931146251470817
2022121200673,2022-12-13 06:01:03.096493,59926.25073028348,30.0,89.77060744316978,-52.543855528001615,1.092197965558308,0.0009172960804687,197.10274406219835,66.26776671249536,89.77037500000002,-52.54382222222222,30.0,-94.15,-90.4957,SDSSi_65mm,89.76902142370115,-52.54276754629243,0.0951611681171687,-0.065278902550354,-0.1980926240469909,-0.0346208418269196,0.0872391034490752
2022121200535,2022-12-13 04:29:50.456495,59926.18738954277,30.0,89.6125452942855,-53.013947191314585,1.0961523411465908,359.99881371694977,163.0913641345105,65.79685261686973,89.61233333333335,-53.01394722222222,30.0,-94.15,-90.4614,SDSSr_65mm,89.61354305656553,-53.01437158423936,-0.0598657368016456,0.0254635754872457,0.0544602776263676,0.038048397742219,0.0441085744167392
2022121200656,2022-12-13 05:49:55.347001,59926.2430017014,30.0,90.23471439936884,-52.54381265910782,1.0863034176941664,0.0005576447352661,192.4659601643216,66.98649769862823,90.23450000000004,-52.54382222222222,30.0,-94.15,-90.4902,SDSSr_65mm,90.23286400790428,-52.5430647526277,0.1110234878754528,-0.0448743888072711,-0.1991983837809152,-0.0214787334168167,0.0810719666931212
2022121200584,2022-12-13 05:01:43.714496,59926.2095337326,30.0,89.3024406670833,-52.82589863591711,1.0833777525206856,359.9996640032115,175.06736614223337,67.35215878328017,89.30225000000003,-52.825897222222224,30.0,-94.15,-90.4518,SDSSg_65mm,89.30244626966486,-52.825862941230966,-0.0003361548944433,-0.0021416811681167,0.0011691469790972,-0.0021035386741042,0.0021512915053764
2022121200462,2022-12-13 03:42:34.842503,59926.15456993638,30.0,89.29705651718523,-53.201999579582846,1.135782080751845,359.9983011665595,150.52211471316696,61.66574066718749,89.29683333333335,-53.202000000000005,30.0,-94.15,-90.1247,SDSSr_65mm,89.30044760911316,-53.20266318292897,-0.2034655156771459,0.0398162007677131,0.1225823993719958,0.1143071838013551,0.1282131257200583
